"class","method","reference.x","set","precision","recall","f1","accuracy","reference.y","full_precision","full_recall","full_f1","full_accuracy"
"1","B cell","CellID","",7,NA,NA,NA,NA,"BoneMarrow",0.97342871742463,0.727654698242933,0.832786885245901,0.727654698242933
"2","B cell","CellID","",8,NA,NA,NA,NA,"BoneMarrow",0.97342871742463,0.727654698242933,0.832786885245901,0.727654698242933
"3","B cell","CellID","",9,NA,NA,NA,NA,"BoneMarrow",0.97342871742463,0.727654698242933,0.832786885245901,0.727654698242933
"4","B cell","CellID","",10,NA,NA,NA,NA,"BoneMarrow",0.97342871742463,0.727654698242933,0.832786885245901,0.727654698242933
"5","B cell","CellID","",11,NA,NA,NA,NA,"BoneMarrow",0.97342871742463,0.727654698242933,0.832786885245901,0.727654698242933
"6","B cell","CellID","",12,NA,NA,NA,NA,"BoneMarrow",0.97342871742463,0.727654698242933,0.832786885245901,0.727654698242933
"7","B cell","CellID","",13,NA,NA,NA,NA,"BoneMarrow",0.97342871742463,0.727654698242933,0.832786885245901,0.727654698242933
"8","B cell","CellID","",14,NA,NA,NA,NA,"BoneMarrow",0.97342871742463,0.727654698242933,0.832786885245901,0.727654698242933
"9","B cell","CellID","",15,NA,NA,NA,NA,"BoneMarrow",0.97342871742463,0.727654698242933,0.832786885245901,0.727654698242933
"10","B cell","CellID","",16,NA,NA,NA,NA,"BoneMarrow",0.97342871742463,0.727654698242933,0.832786885245901,0.727654698242933
"11","B cell","CellID","",17,NA,NA,NA,NA,"BoneMarrow",0.97342871742463,0.727654698242933,0.832786885245901,0.727654698242933
"12","B cell","CellID","",18,NA,NA,NA,NA,"BoneMarrow",0.97342871742463,0.727654698242933,0.832786885245901,0.727654698242933
"13","B cell","CellID","",19,NA,NA,NA,NA,"BoneMarrow",0.97342871742463,0.727654698242933,0.832786885245901,0.727654698242933
"14","B cell","CellID","",20,NA,NA,NA,NA,"BoneMarrow",0.97342871742463,0.727654698242933,0.832786885245901,0.727654698242933
