"id","reference","CellID","ItClust","Seurat","SingleCellNet","SingleR"
"1","X100105","BoneMarrow",1,1,1,1,1
"2","X100197","BoneMarrow",1,1,1,1,1
"3","X100262","BoneMarrow",1,0,1,1,1
"4","X100267","BoneMarrow",1,1,1,1,1
"5","X100405","BoneMarrow",0.5,0,1,1,0.8
"6","X100444","BoneMarrow",1,1,1,1,1
"7","X100512","BoneMarrow",1,1,1,1,1
"8","X100519","BoneMarrow",0,0,1,1,1
"9","X100623","BoneMarrow",0.3,0,1,1,1
"10","X100637","BoneMarrow",1,0,1,1,1
"11","X100858","BoneMarrow",1,0,1,1,1
"12","X100866","BoneMarrow",1,1,1,1,1
"13","X100907","BoneMarrow",1,0.2,0,0,1
"14","X101077","BoneMarrow",0,0,1,1,1
"15","X101174","BoneMarrow",1,0,1,1,1
"16","X101186","BoneMarrow",1,0,0.9,1,1
"17","X101239","BoneMarrow",0.55,1,0,1,0
"18","X101246","BoneMarrow",0,0,1,0,0
"19","X101253","BoneMarrow",0,0,1,1,0
"20","X101271","BoneMarrow",1,1,1,1,1
"21","X101352","BoneMarrow",1,1,1,1,1
"22","X101416","BoneMarrow",1,0,1,1,1
"23","X101437","BoneMarrow",0.7,1,1,1,1
"24","X101659","BoneMarrow",1,1,1,1,1
"25","X101743","BoneMarrow",0,0,1,1,1
"26","X101787","BoneMarrow",1,1,1,1,1
"27","X101830","BoneMarrow",0,0,0.3,1,0.8
"28","X101910","BoneMarrow",0.5,1,1,1,1
"29","X101985","BoneMarrow",0,0,1,0.2,0.2
"30","X102025","BoneMarrow",0.15,1,1,1,1
"31","X102085","BoneMarrow",0.6,0,1,1,1
"32","X102162","BoneMarrow",0.15,0,1,1,1
"33","X102182","BoneMarrow",0,0,1,1,1
"34","X102391","BoneMarrow",0,1,1,1,0.1
"35","X102435","BoneMarrow",0,0,0,1,0
"36","X102570","BoneMarrow",1,0,0.9,0.5,0
"37","X102671","BoneMarrow",0.15,0,1,1,1
"38","X102673","BoneMarrow",1,1,1,1,0
"39","X102722","BoneMarrow",1,1,1,1,1
"40","X102742","BoneMarrow",1,1,1,1,1
"41","X102770","BoneMarrow",0.05,0,1,1,1
"42","X102773","BoneMarrow",1,0,1,1,1
"43","X10291","BoneMarrow",0.8,0,1,1,1
"44","X102960","BoneMarrow",0.9,1,1,1,1
"45","X103037","BoneMarrow",1,1,1,1,1
"46","X103038","BoneMarrow",1,1,1,1,1
"47","X103086","BoneMarrow",0,0,1,1,1
"48","X103140","BoneMarrow",0,1,1,1,1
"49","X103430","BoneMarrow",0,0,1,1,1
"50","X103455","BoneMarrow",1,1,1,1,1
"51","X103568","BoneMarrow",0,0,1,1,1
"52","X103588","BoneMarrow",1,1,1,0.9,1
"53","X103635","BoneMarrow",0,0,1,1,1
"54","X103873","BoneMarrow",0,0.2,0.1,0.1,0
"55","X103906","BoneMarrow",1,0,0.8,1,1
"56","X104007","BoneMarrow",1,0,1,1,1
"57","X104041","BoneMarrow",0.9,1,1,1,1
"58","X104121","BoneMarrow",0,0,1,0.9,1
"59","X104150","BoneMarrow",0.4,0,1,1,1
"60","X10424","BoneMarrow",1,1,1,1,1
"61","X104256","BoneMarrow",0,0,1,1,1
