"","class","reference","method","size","set","precision","recall","f1","accuracy"
"1","Dendritic cell","BoneMarrow","CellID",14707,1,0.579194001874414,0.551785714285714,0.565157750342936,0.551785714285714
"2","Dendritic cell","BoneMarrow","Seurat",14707,1,0.882917466410749,0.821428571428571,0.851063829787234,0.821428571428571
"3","Dendritic cell","BoneMarrow","SingleCellNet",14707,1,0.933852140077821,0.857142857142857,0.893854748603352,0.857142857142857
"4","Dendritic cell","BoneMarrow","SingleR",14707,1,0.847045191193511,0.652678571428571,0.737266767523954,0.652678571428571
"5","Dendritic cell","BoneMarrow","ItClust",14707,1,0.0549777117384844,0.0660714285714286,0.0600162206001622,0.0660714285714286
"6","B cell","BoneMarrow","CellID",14707,1,0.97342871742463,0.727654698242933,0.832786885245901,0.727654698242933
"7","B cell","BoneMarrow","Seurat",14707,1,0.962934947049924,0.972498090145149,0.967692892436336,0.972498090145149
"8","B cell","BoneMarrow","SingleCellNet",14707,1,0.955998033431662,0.990323402088108,0.97285803627267,0.990323402088108
"9","B cell","BoneMarrow","SingleR",14707,1,0.968647316538883,0.900814871403107,0.933500461802349,0.900814871403107
"10","B cell","BoneMarrow","ItClust",14707,1,0.313519813519814,0.274000509294627,0.292431036825656,0.274000509294627
"11","T cell","BoneMarrow","CellID",14707,1,0.802123552123552,0.718502964426877,0.758014073494918,0.718502964426877
"12","T cell","BoneMarrow","Seurat",14707,1,0.961584633853541,0.989377470355731,0.975283087787654,0.989377470355731
"13","T cell","BoneMarrow","SingleCellNet",14707,1,0.954707985697259,0.989377470355731,0.971733592138784,0.989377470355731
"14","T cell","BoneMarrow","SingleR",14707,1,0.955819774718398,0.943305335968379,0.949521322889469,0.943305335968379
"15","T cell","BoneMarrow","ItClust",14707,1,NA,0,NA,0
"16","Lymphomyeloid prog","BoneMarrow","CellID",14707,1,0.371391917896087,0.640486725663717,0.470158343483557,0.640486725663717
"17","Lymphomyeloid prog","BoneMarrow","Seurat",14707,1,0.665529010238908,0.43141592920354,0.523489932885906,0.43141592920354
"18","Lymphomyeloid prog","BoneMarrow","SingleCellNet",14707,1,0.573604060913706,0.5,0.534278959810875,0.5
"19","Lymphomyeloid prog","BoneMarrow","SingleR",14707,1,0.382911392405063,0.535398230088496,0.446494464944649,0.535398230088496
"20","Lymphomyeloid prog","BoneMarrow","ItClust",14707,1,0.0397398843930636,0.121681415929204,0.0599128540305011,0.121681415929204
"21","Myelocytes","BoneMarrow","CellID",14707,1,0.870094722598105,0.299348230912477,0.445445098718393,0.299348230912477
